,track_id,artist,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,5aOQFsNGiKJLbIFXA9427S,Hemant Kumar,"['classic bollywood', 'classic pakistani pop', 'filmi', 'ghazal', 'rabindra sangeet']",0.428,0.277,4.0,-12.571,1.0,0.0296,0.928,4.25e-05,0.126,0.438,93.942
1,1Y1Zqbk4UsJCTGRNMQSfV3,Wolfgang Amadeus Mozart,"['classical', 'classical era']",0.126,0.139,2.0,-17.939,0.0,0.0377,0.977,0.519,0.12,0.0425,89.382
2,,,,,,,,,,,,,,
3,08x3GCYn55rNhJZIZK3INS,Sukanya Purkayastha,[],0.638,0.564,2.0,-8.149,0.0,0.0295,0.0647,0.00696,0.115,0.392,80.012
4,0OlOqcPE9o9fYiF7ZiGMRX,Rahat Fateh Ali Khan,"['classic pakistani pop', 'filmi', 'modern bollywood', 'qawwali', 'sufi']",0.63,0.569,11.0,-8.435,0.0,0.0372,0.157,1.83e-05,0.106,0.485,134.203
5,6JPTrKw6pzAbMW7KHu1TTW,Sunidhi Chauhan,"['desi pop', 'filmi', 'modern bollywood', 'sufi']",0.75,0.402,10.0,-9.748,1.0,0.054,0.386,0.0,0.134,0.75,119.833
6,5Ixo7kVPzQlpdn7VVHET7b,"Crosby, Stills, Nash & Young","['album rock', 'blues rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock', 'soft rock', 'supergroup']",0.444,0.721,0.0,-6.337,1.0,0.0261,0.225,0.00211,0.242,0.785,78.453
7,7EyJlnaIGHMWMQvO274iQm,Funk,[],0.827,0.608,0.0,-13.655,1.0,0.0503,0.0795,0.696,0.121,0.987,139.584
8,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,
15,3PFaFVWq5wucLu6s4baj9D,The Internet,"['alternative r&b', 'hip hop', 'indie soul', 'lgbtq+ hip hop', 'neo soul', 'r&b', 'rap']",0.568,0.42,7.0,-11.169,0.0,0.276,0.536,0.124,0.101,0.453,79.89
16,7KwZNVEaqikRSBSpyhXK2j,The Notorious B.I.G.,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",0.901,0.697,9.0,-3.439,1.0,0.28,0.145,0.0,0.287,0.67,93.941
17,2D1uFfnp5ylRPNYbdEa5Kv,Foster The People,"['indietronica', 'modern rock', 'rock']",0.694,0.951,5.0,-5.4,0.0,0.0784,0.0523,0.00338,0.293,0.74,120.014
18,7sapKrjDij2fpDVj0GxP66,Maroon 5,['pop'],0.706,0.713,0.0,-5.512,0.0,0.0301,0.0596,0.0,0.132,0.544,102.037
19,6lUXneXZ9jc3HSMHgd8oqh,Al Green,"['classic soul', 'funk', 'memphis soul', 'quiet storm', 'soul', 'soul blues', 'southern soul']",0.467,0.42,4.0,-6.957,1.0,0.0398,0.509,2.56e-05,0.0707,0.365,146.512
